run,elapsed_s,chisq_mean,chisq_median,dem_shape,chisq_shape
1,7.717346686011297,61.4754412121778,61.47544121217782,"[256, 256, 34]","[256, 256]"
2,7.799478926011943,61.4754412121778,61.47544121217782,"[256, 256, 34]","[256, 256]"
3,7.875396578994696,61.4754412121778,61.47544121217782,"[256, 256, 34]","[256, 256]"
